epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.282946744889845,0.6114714919767839,1.0621605675672607,0.6930422919508867,0.0001
2,0.9389156124704973,0.7132127005804029,0.9242160790288595,0.7407912687585266,0.0001
3,0.8556680549082393,0.7558893820416525,0.9100464971133827,0.7407912687585266,0.0001
4,0.7748625582092327,0.7866165926937522,0.894852741922558,0.7421555252387448,0.0001
5,0.7153350062319833,0.797200409696142,0.8800400210923095,0.7653478854024557,0.0001
6,0.6650664928464932,0.804028678729942,0.8938504219217808,0.781718963165075,0.0001
7,0.6560939302131885,0.8265619665414817,0.8656055262111544,0.7612551159618008,0.0001
8,0.607174969240438,0.8333902355752817,0.8947778164445948,0.7530695770804912,0.0001
9,0.5298708792471893,0.8525093888699214,0.973380148004217,0.7708049113233287,0.0001
10,0.4942318609282603,0.8566063502902014,0.9225473218530131,0.7748976807639836,5e-05
11,0.44431923513487365,0.8712871287128713,1.0174392288573604,0.7585266030013642,5e-05
12,0.3989203892376041,0.8866507340389211,0.9766757966388947,0.791268758526603,5e-05
13,0.3988638360494638,0.8900648685558211,1.0443787397499136,0.7612551159618008,5e-05
14,0.384024926483855,0.8818709457152611,1.0521095203995543,0.7939972714870396,5e-05
15,0.34771259185518166,0.904062820075111,1.078622948911961,0.7885402455661664,5e-05
