epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.5000417682651612,0.4568111983612154,1.3420316203717157,0.5402455661664393,0.0001
2,1.3535360207367204,0.5728917719358143,1.2912507720728688,0.6657571623465212,0.0001
3,1.299571253814645,0.596107886650734,1.332635678340761,0.6521145975443383,0.0001
4,1.2533105053808877,0.6264936838511438,1.2411968499869312,0.6521145975443383,0.0001
5,1.2359070252053523,0.6104472516217139,1.3090878682767548,0.607094133697135,0.0001
6,1.2172928784397448,0.6350290201433937,1.2682837763392096,0.5893587994542974,5e-05
7,1.185447682451982,0.6500512120177535,1.2512624429648114,0.6521145975443383,5e-05
8,1.1583558727588699,0.6520996927278935,1.1724928581698366,0.6725784447476125,5e-05
9,1.1504946409455334,0.6534653465346535,1.1949109204957138,0.6562073669849932,5e-05
10,1.1313051163193797,0.6596107886650734,1.1512397047930167,0.6889495225102319,5e-05
11,1.1334382077051373,0.6616592693752134,1.2289212285089948,0.6234652114597544,5e-05
12,1.1061879519758553,0.6759986343461932,1.1200621474488532,0.6616643929058663,5e-05
13,1.1006253276029192,0.6831683168316832,1.2335858795522505,0.6316507503410641,5e-05
14,1.1142234880389432,0.6579037214066235,1.1737748578007843,0.6821282401091405,2.5e-05
15,1.0770125074897785,0.6766814612495732,1.1043081499869958,0.6875852660300137,2.5e-05
