epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.1693185534075121,0.6674632980539433,0.9624879997716594,0.7517053206002728,0.0001
2,0.8800767058193093,0.7405257767156026,0.9495815455019068,0.7598908594815825,0.0001
3,0.755874731951543,0.7855923523386822,0.8759578438767958,0.8158253751705321,0.0001
4,0.6995723525913716,0.805052919085012,0.8336718103570144,0.7885402455661664,0.0001
5,0.6232861494114473,0.8344144759303517,0.9389172668834338,0.7980900409276944,0.0001
6,0.567003720772881,0.8436326391259815,1.0820037578658226,0.8049113233287858,0.0001
7,0.5143164282326976,0.8559235233868214,0.8425990670797444,0.781718963165075,5e-05
8,0.37771996826228527,0.893820416524411,1.0593674739093442,0.8171896316507503,5e-05
9,0.2752149415406891,0.9231819733697507,1.0646751527083684,0.82537517053206,5e-05
10,0.25613594080613067,0.9306930693069307,1.028651251636781,0.8335607094133697,5e-05
11,0.21302590967649157,0.9446910208262206,1.1744539453095335,0.8158253751705321,5e-05
12,0.21707811924165002,0.9399112325025606,1.148146594042342,0.8226466575716235,5e-05
13,0.1878115979171768,0.9443496073745306,1.2514236310819649,0.82537517053206,5e-05
14,0.17066229307008465,0.9552748378286104,1.3797044560496186,0.8130968622100955,2.5e-05
15,0.13701451255645147,0.9593717992488904,1.1516222771648494,0.8212824010914052,2.5e-05
