epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.2479067825546604,0.5814271082280642,0.9882000201720983,0.7244201909959073,0.0001
2,0.9208333553328535,0.7398429498122226,0.8833761304657586,0.7680763983628922,0.0001
3,0.7879998214255425,0.7637418914305224,0.9593702392070713,0.7517053206002728,0.0001
4,0.7021511453701473,0.7886650734038921,0.9481569081341586,0.7557980900409277,0.0001
5,0.6617362493742607,0.8057357459883919,0.8824864231548075,0.800818553888131,0.0001
6,0.5738280383585744,0.8296346876066917,0.9156081455303572,0.8062755798090041,0.0001
7,0.5410836368911134,0.8412427449641516,0.9845725698002689,0.7762619372442019,0.0001
8,0.500623430559439,0.8518265619665415,0.9493927176619942,0.8076398362892224,0.0001
9,0.43795507366887615,0.8607033117104814,1.0589425316611547,0.8090040927694406,0.0001
10,0.3989603024531892,0.8835780129737112,1.0050581713165136,0.810368349249659,0.0001
11,0.3444008833314421,0.894161829976101,1.017008776066248,0.772169167803547,0.0001
12,0.3437311723701129,0.900648685558211,1.2825368446022232,0.7926330150068213,0.0001
13,0.33390856065942226,0.9013315124615909,1.0506610253985875,0.8226466575716235,0.0001
14,0.2673567459216172,0.9207920792079208,1.1237101457291379,0.8158253751705321,0.0001
15,0.2483881109910192,0.9255718675315807,1.2262080880174206,0.7939972714870396,0.0001
